"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","GDP","TOT","MLN_USD","A","2011",2446474.544,
"FRA","GDP","TOT","MLN_USD","A","2012",2474005.287,
"FRA","GDP","TOT","MLN_USD","A","2013",2608523.504,
"FRA","GDP","TOT","MLN_USD","A","2014",2662032.873,
"FRA","GDP","TOT","MLN_USD","A","2015",2718495.127,
"FRA","GDP","TOT","MLN_USD","A","2016",2864105.631,
"FRA","GDP","TOT","MLN_USD","A","2017",2983010.673,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3403158.941,
"FRA","GDP","TOT","MLN_USD","A","2020",3262896.418,
"FRA","GDP","TOT","MLN_USD","A","2021",3481611.03,"P"
"FRA","GDP","TOT","MLN_USD","A","2022",3764758.779,"P"
"DEU","GDP","TOT","MLN_USD","A","1995",1924795.611,
"DEU","GDP","TOT","MLN_USD","A","1996",1972389.653,
"DEU","GDP","TOT","MLN_USD","A","1997",2015809.715,
"DEU","GDP","TOT","MLN_USD","A","1998",2079540.241,
"DEU","GDP","TOT","MLN_USD","A","1999",2158515.841,
"DEU","GDP","TOT","MLN_USD","A","2000",2236504.797,
"DEU","GDP","TOT","MLN_USD","A","2001",2336594.757,
"DEU","GDP","TOT","MLN_USD","A","2002",2406900.908,
"DEU","GDP","TOT","MLN_USD","A","2003",2468569.147,
"DEU","GDP","TOT","MLN_USD","A","2004",2585566.23,
"DEU","GDP","TOT","MLN_USD","A","2005",2622039.802,
"DEU","GDP","TOT","MLN_USD","A","2006",2813824.86,
"DEU","GDP","TOT","MLN_USD","A","2007",2985617.276,
"DEU","GDP","TOT","MLN_USD","A","2008",3103958.247,
"DEU","GDP","TOT","MLN_USD","A","2009",3015332.321,
"DEU","GDP","TOT","MLN_USD","A","2010",3185267.891,
"DEU","GDP","TOT","MLN_USD","A","2011",3415019.966,
"DEU","GDP","TOT","MLN_USD","A","2012",3487234.448,
"DEU","GDP","TOT","MLN_USD","A","2013",3628559.337,
"DEU","GDP","TOT","MLN_USD","A","2014",3807114.521,
"DEU","GDP","TOT","MLN_USD","A","2015",3889081.896,
"DEU","GDP","TOT","MLN_USD","A","2016",4165169.905,
"DEU","GDP","TOT","MLN_USD","A","2017",4386729.188,
"DEU","GDP","TOT","MLN_USD","A","2018",4576056.532,
"DEU","GDP","TOT","MLN_USD","A","2019",4770495.488,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4694786.155,"P"
"DEU","GDP","TOT","MLN_USD","A","2021",4913166.143,"P"
"DEU","GDP","TOT","MLN_USD","A","2022",5323008.116,"P"
"GRC","GDP","TOT","MLN_USD","A","1995",163008.397,
"GRC","GDP","TOT","MLN_USD","A","1996",171331.14,
"GRC","GDP","TOT","MLN_USD","A","1997",182903.324,
"GRC","GDP","TOT","MLN_USD","A","1998",193336.035,
"GRC","GDP","TOT","MLN_USD","A","1999",198711.939,
"GRC","GDP","TOT","MLN_USD","A","2000",210928.9,
"GRC","GDP","TOT","MLN_USD","A","2001",227657.332,
"GRC","GDP","TOT","MLN_USD","A","2002",246559.281,
"GRC","GDP","TOT","MLN_USD","A","2003",261156.845,
"GRC","GDP","TOT","MLN_USD","A","2004",278924.6,
"GRC","GDP","TOT","MLN_USD","A","2005",281028.396,
"GRC","GDP","TOT","MLN_USD","A","2006",314601.571,
"GRC","GDP","TOT","MLN_USD","A","2007",323985.185,
"GRC","GDP","TOT","MLN_USD","A","2008",341817.829,
"GRC","GDP","TOT","MLN_USD","A","2009",337203.102,
"GRC","GDP","TOT","MLN_USD","A","2010",310415.31,"B"
"GRC","GDP","TOT","MLN_USD","A","2011",285079.561,
"GRC","GDP","TOT","MLN_USD","A","2012",275143.683,
"GRC","GDP","TOT","MLN_USD","A","2013",284949.076,
"GRC","GDP","TOT","MLN_USD","A","2014",290011.379,
"GRC","GDP","TOT","MLN_USD","A","2015",289570.644,
"GRC","GDP","TOT","MLN_USD","A","2016",296466.614,
"GRC","GDP","TOT","MLN_USD","A","2017",307636.013,
"GRC","GDP","TOT","MLN_USD","A","2018",317881.481,
"GRC","GDP","TOT","MLN_USD","A","2019",334033.617,
"GRC","GDP","TOT","MLN_USD","A","2020",303299.582,
"GRC","GDP","TOT","MLN_USD","A","2021",332695.257,"P"
"GRC","GDP","TOT","MLN_USD","A","2022",386578.919,"P"
"HUN","GDP","TOT","MLN_USD","A","1995",94949.945,
"HUN","GDP","TOT","MLN_USD","A","1996",96433.633,
"HUN","GDP","TOT","MLN_USD","A","1997",101102.156,
"HUN","GDP","TOT","MLN_USD","A","1998",106755.322,
"HUN","GDP","TOT","MLN_USD","A","1999",111315.201,
"HUN","GDP","TOT","MLN_USD","A","2000",121055.806,
"HUN","GDP","TOT","MLN_USD","A","2001",134582.542,
"HUN","GDP","TOT","MLN_USD","A","2002",147567.884,
"HUN","GDP","TOT","MLN_USD","A","2003",156795.607,
"HUN","GDP","TOT","MLN_USD","A","2004",164432.54,
"HUN","GDP","TOT","MLN_USD","A","2005",172572.944,
"HUN","GDP","TOT","MLN_USD","A","2006",185137.549,
"HUN","GDP","TOT","MLN_USD","A","2007",192032.269,
"HUN","GDP","TOT","MLN_USD","A","2008",208006.337,
"HUN","GDP","TOT","MLN_USD","A","2009",207698.243,
"HUN","GDP","TOT","MLN_USD","A","2010",217415.959,
"HUN","GDP","TOT","MLN_USD","A","2011",229643.36,
"HUN","GDP","TOT","MLN_USD","A","2012",230821.511,
"HUN","GDP","TOT","MLN_USD","A","2013",242855.184,
"HUN","GDP","TOT","MLN_USD","A","2014",253484.632,
"HUN","GDP","TOT","MLN_USD","A","2015",263781.873,
"HUN","GDP","TOT","MLN_USD","A","2016",274222.712,
"HUN","GDP","TOT","MLN_USD","A","2017",288707.448,
"HUN","GDP","TOT","MLN_USD","A","2018",311927.137,
"HUN","GDP","TOT","MLN_USD","A","2019",338526.704,
"HUN","GDP","TOT","MLN_USD","A","2020",333161.834,
"HUN","GDP","TOT","MLN_USD","A","2021",356701.68,
"HUN","GDP","TOT","MLN_USD","A","2022",402509.611,"P"
"ISL","GDP","TOT","MLN_USD","A","1995",6407.343,
"ISL","GDP","TOT","MLN_USD","A","1996",6662.593,
"ISL","GDP","TOT","MLN_USD","A","1997",7286.027,
"ISL","GDP","TOT","MLN_USD","A","1998",7871.118,
"ISL","GDP","TOT","MLN_USD","A","1999",8198.7,
"ISL","GDP","TOT","MLN_USD","A","2000",8375.645,
"ISL","GDP","TOT","MLN_USD","A","2001",9085.392,
"ISL","GDP","TOT","MLN_USD","A","2002",9375.293,
"ISL","GDP","TOT","MLN_USD","A","2003",9467.595,
"ISL","GDP","TOT","MLN_USD","A","2004",10402.625,
"ISL","GDP","TOT","MLN_USD","A","2005",11074.926,
"ISL","GDP","TOT","MLN_USD","A","2006",12059.466,
"ISL","GDP","TOT","MLN_USD","A","2007",12920.229,
"ISL","GDP","TOT","MLN_USD","A","2008",13879.916,
"ISL","GDP","TOT","MLN_USD","A","2009",13333.839,
"ISL","GDP","TOT","MLN_USD","A","2010",12649.529,
"ISL","GDP","TOT","MLN_USD","A","2011",13059.434,
"ISL","GDP","TOT","MLN_USD","A","2012",13471.498,
"ISL","GDP","TOT","MLN_USD","A","2013",14378.252,
"ISL","GDP","TOT","MLN_USD","A","2014",15058.764,
"ISL","GDP","TOT","MLN_USD","A","2015",16276.45,
"ISL","GDP","TOT","MLN_USD","A","2016",17939.411,
"ISL","GDP","TOT","MLN_USD","A","2017",19106.258,
"ISL","GDP","TOT","MLN_USD","A","2018",20174.854,
"ISL","GDP","TOT","MLN_USD","A","2019",21507.881,
"ISL","GDP","TOT","MLN_USD","A","2020",19912.086,
"ISL","GDP","TOT","MLN_USD","A","2021",21715.673,
"ISL","GDP","TOT","MLN_USD","A","2022",26593.332,
"IRL","GDP","TOT","MLN_USD","A","1995",68369.684,
"IRL","GDP","TOT","MLN_USD","A","1996",74500.238,
"IRL","GDP","TOT","MLN_USD","A","1997",83169.309,
"IRL","GDP","TOT","MLN_USD","A","1998",93163.071,
"IRL","GDP","TOT","MLN_USD","A","1999",101534.479,
"IRL","GDP","TOT","MLN_USD","A","2000",114959.9,
"IRL","GDP","TOT","MLN_USD","A","2001",125937.229,
"IRL","GDP","TOT","MLN_USD","A","2002",138490.842,
"IRL","GDP","TOT","MLN_USD","A","2003",145013.085,
"IRL","GDP","TOT","MLN_USD","A","2004",157656.138,
"IRL","GDP","TOT","MLN_USD","A","2005",168336.081,
"IRL","GDP","TOT","MLN_USD","A","2006",189018.885,
"IRL","GDP","TOT","MLN_USD","A","2007",205779.814,
"IRL","GDP","TOT","MLN_USD","A","2008",198299.13,
"IRL","GDP","TOT","MLN_USD","A","2009",188088.826,
"IRL","GDP","TOT","MLN_USD","A","2010",197036.295,
"IRL","GDP","TOT","MLN_USD","A","2011",206639.608,
"IRL","GDP","TOT","MLN_USD","A","2012",212883.421,
"IRL","GDP","TOT","MLN_USD","A","2013",221005.187,
"IRL","GDP","TOT","MLN_USD","A","2014",238656.914,
"IRL","GDP","TOT","MLN_USD","A","2015",325443.078,
"IRL","GDP","TOT","MLN_USD","A","2016",339580.36,
"IRL","GDP","TOT","MLN_USD","A","2017",375788.611,
"IRL","GDP","TOT","MLN_USD","A","2018",413324.138,
"IRL","GDP","TOT","MLN_USD","A","2019",442259.298,
"IRL","GDP","TOT","MLN_USD","A","2020",471371.126,
"IRL","GDP","TOT","MLN_USD","A","2021",546184.137,
"IRL","GDP","TOT","MLN_USD","A","2022",650316.274,
"ITA","GDP","TOT","MLN_USD","A","1995",1273063.339,
"ITA","GDP","TOT","MLN_USD","A","1996",1311139.817,
"ITA","GDP","TOT","MLN_USD","A","1997",1358302.153,
"ITA","GDP","TOT","MLN_USD","A","1998",1423901.289,
"ITA","GDP","TOT","MLN_USD","A","1999",1457193.11,
"ITA","GDP","TOT","MLN_USD","A","2000",1541858.123,
"ITA","GDP","TOT","MLN_USD","A","2001",1597502.924,
"ITA","GDP","TOT","MLN_USD","A","2002",1639680.501,
"ITA","GDP","TOT","MLN_USD","A","2003",1673454.381,
"ITA","GDP","TOT","MLN_USD","A","2004",1704882.532,
"ITA","GDP","TOT","MLN_USD","A","2005",1746658.11,
"ITA","GDP","TOT","MLN_USD","A","2006",1886859.551,
"ITA","GDP","TOT","MLN_USD","A","2007",1995406.894,
"ITA","GDP","TOT","MLN_USD","A","2008",2089717.307,
"ITA","GDP","TOT","MLN_USD","A","2009",2044893.204,
"ITA","GDP","TOT","MLN_USD","A","2010",2083996.379,
"ITA","GDP","TOT","MLN_USD","A","2011",2173169.961,
"ITA","GDP","TOT","MLN_USD","A","2012",2172383.108,
"ITA","GDP","TOT","MLN_USD","A","2013",2187376.607,
"ITA","GDP","TOT","MLN_USD","A","2014",2200256.409,
"ITA","GDP","TOT","MLN_USD","A","2015",2240922.483,
"ITA","GDP","TOT","MLN_USD","A","2016",2420672.141,
"ITA","GDP","TOT","MLN_USD","A","2017",2517184.468,
"ITA","GDP","TOT","MLN_USD","A","2018",2600326.872,
"ITA","GDP","TOT","MLN_USD","A","2019",2735577.365,
"ITA","GDP","TOT","MLN_USD","A","2020",2564795.429,
"ITA","GDP","TOT","MLN_USD","A","2021",2814257.328,
"ITA","GDP","TOT","MLN_USD","A","2022",3112290.717,
"JPN","GDP","TOT","MLN_USD","A","1995",2993644.743,
"JPN","GDP","TOT","MLN_USD","A","1996",3143992.145,
"JPN","GDP","TOT","MLN_USD","A","1997",3229588.927,
"JPN","GDP","TOT","MLN_USD","A","1998",3224451.313,
"JPN","GDP","TOT","MLN_USD","A","1999",3258971.755,
"JPN","GDP","TOT","MLN_USD","A","2000",3461199.211,
"JPN","GDP","TOT","MLN_USD","A","2001",3552841.441,
"JPN","GDP","TOT","MLN_USD","A","2002",3647933.242,
"JPN","GDP","TOT","MLN_USD","A","2003",3753919.246,
"JPN","GDP","TOT","MLN_USD","A","2004",3938955.766,
"JPN","GDP","TOT","MLN_USD","A","2005",4110440.486,
"JPN","GDP","TOT","MLN_USD","A","2006",4300322.188,
"JPN","GDP","TOT","MLN_USD","A","2007",4482081.29,
"JPN","GDP","TOT","MLN_USD","A","2008",4517267.524,
"JPN","GDP","TOT","MLN_USD","A","2009",4295628.986,
"JPN","GDP","TOT","MLN_USD","A","2010",4525401.306,
"JPN","GDP","TOT","MLN_USD","A","2011",4629400.467,
"JPN","GDP","TOT","MLN_USD","A","2012",4799612.88,
"JPN","GDP","TOT","MLN_USD","A","2013",5021591.104,
"JPN","GDP","TOT","MLN_USD","A","2014",5034454.619,
"JPN","GDP","TOT","MLN_USD","A","2015",5199915.223,
"JPN","GDP","TOT","MLN_USD","A","2016",5158900.414,
"JPN","GDP","TOT","MLN_USD","A","2017",5262254.967,
"JPN","GDP","TOT","MLN_USD","A","2018",5344060.937,
"JPN","GDP","TOT","MLN_USD","A","2019",5352898.847,
"JPN","GDP","TOT","MLN_USD","A","2020",5263052.866,
"JPN","GDP","TOT","MLN_USD","A","2021",5383426.681,
"JPN","GDP","TOT","MLN_USD","A","2022",5703678.329,"E"
"KOR","GDP","TOT","MLN_USD","A","1995",608871.842,
"KOR","GDP","TOT","MLN_USD","A","1996",668944.044,
"KOR","GDP","TOT","MLN_USD","A","1997",722468.659,
"KOR","GDP","TOT","MLN_USD","A","1998",693124.625,
"KOR","GDP","TOT","MLN_USD","A","1999",783492.526,
"KOR","GDP","TOT","MLN_USD","A","2000",871475.638,
"KOR","GDP","TOT","MLN_USD","A","2001",934349.292,
"KOR","GDP","TOT","MLN_USD","A","2002",1019446.686,
"KOR","GDP","TOT","MLN_USD","A","2003",1058222.737,
"KOR","GDP","TOT","MLN_USD","A","2004",1143105.568,
"KOR","GDP","TOT","MLN_USD","A","2005",1213618.157,
"KOR","GDP","TOT","MLN_USD","A","2006",1302227.991,
"KOR","GDP","TOT","MLN_USD","A","2007",1414985.951,
"KOR","GDP","TOT","MLN_USD","A","2008",1468996.086,
"KOR","GDP","TOT","MLN_USD","A","2009",1454994.406,
"KOR","GDP","TOT","MLN_USD","A","2010",1572680.44,
"KOR","GDP","TOT","MLN_USD","A","2011",1625275.456,
"KOR","GDP","TOT","MLN_USD","A","2012",1684562.928,
"KOR","GDP","TOT","MLN_USD","A","2013",1726902.753,
"KOR","GDP","TOT","MLN_USD","A","2014",1792600.237,
"KOR","GDP","TOT","MLN_USD","A","2015",1933588.947,
"KOR","GDP","TOT","MLN_USD","A","2016",2026967.822,
